[rosmaster.master][INFO] 2019-04-02 21:54:23,577: +PUB [/camera/rgb/image_mono] /play_1554242058952133407 http://9fe54ba3caf9:41743/
[rosmaster.master][INFO] 2019-04-02 21:54:23,579: +PUB [/camera/depth/image_rect_raw] /play_1554242058952133407 http://9fe54ba3caf9:41743/
[rosmaster.master][INFO] 2019-04-02 21:54:23,580: +PUB [/camera/depth/image_rect] /play_1554242058952133407 http://9fe54ba3caf9:41743/
[rosmaster.master][INFO] 2019-04-02 21:54:23,581: +PUB [/camera/depth/disparity] /play_1554242058952133407 http://9fe54ba3caf9:41743/
[rosmaster.master][INFO] 2019-04-02 21:54:23,582: +PUB [/camera/depth/points] /play_1554242058952133407 http://9fe54ba3caf9:41743/
[rosmaster.master][INFO] 2019-04-02 21:54:23,610: publisherUpdate[/camera/depth/image_raw] -> http://9fe54ba3caf9:41057/
[rosmaster.master][INFO] 2019-04-02 21:54:28,651: -PUB [/rosout] /play_1554242058952133407 http://9fe54ba3caf9:41743/
[rosmaster.master][INFO] 2019-04-02 21:54:28,652: -PUB [/clock] /play_1554242058952133407 http://9fe54ba3caf9:41743/
[rosmaster.master][INFO] 2019-04-02 21:54:28,652: -PUB [/camera/rgb/image_color] /play_1554242058952133407 http://9fe54ba3caf9:41743/
[rosmaster.master][INFO] 2019-04-02 21:54:28,653: -PUB [/camera/depth/image_raw] /play_1554242058952133407 http://9fe54ba3caf9:41743/
[rosmaster.master][INFO] 2019-04-02 21:54:28,654: -PUB [/camera/rgb/image_raw] /play_1554242058952133407 http://9fe54ba3caf9:41743/
[rosmaster.master][INFO] 2019-04-02 21:54:28,654: -PUB [/camera/rgb/image_mono] /play_1554242058952133407 http://9fe54ba3caf9:41743/
[rosmaster.master][INFO] 2019-04-02 21:54:28,655: -PUB [/camera/depth/image_rect_raw] /play_1554242058952133407 http://9fe54ba3caf9:41743/
[rosmaster.master][INFO] 2019-04-02 21:54:28,655: -PUB [/camera/depth/image_rect] /play_1554242058952133407 http://9fe54ba3caf9:41743/
[rosmaster.master][INFO] 2019-04-02 21:54:28,656: -PUB [/camera/depth/disparity] /play_1554242058952133407 http://9fe54ba3caf9:41743/
[rosmaster.master][INFO] 2019-04-02 21:54:28,656: -PUB [/camera/depth/points] /play_1554242058952133407 http://9fe54ba3caf9:41743/
[rosmaster.master][INFO] 2019-04-02 21:54:28,658: -SERVICE [/play_1554242058952133407/get_loggers] /play_1554242058952133407 rosrpc://9fe54ba3caf9:36269
